DRESDEN/Nine_Mens_Morris_0.11_2p/h31Ruw;Validator: The sentence with the name closingMill appears with two different arities, 5 and 3.
DRESDEN/themathematician_medium/60rnCw;Validator: The function with the name operation appears with two different arities, 1 and 2
DRESDEN/meier/AH3Z_g;Validator: The keyword does is being used as a function. It should only be used as the name of a sentence.
DRESDEN/ruledepthquadratic/mNApLg;Validator: ( <= ( legal robot giveup ) ) is written as a zero-arity rule, if it's always supposed to be true, it should be written as a relation instead. Otherwise, check your parentheses.
DRESDEN/asteroids/1EYqAw;Validator: ( <= ( legal ship thrust ) ) is written as a zero-arity rule, if it's always supposed to be true, it should be written as a relation instead. Otherwise, check your parentheses.
DRESDEN/eotcitcit/-8luRQ;Validator: ( terminal ) is written as a zero-arity relation, it should be written as a proposition instead. (Try dropping the parentheses.)
DRESDEN/sudoku_simple/AIr0oQ;Validator: The function with the name cell appears with two different arities, 2 and 3
DRESDEN/themathematician_easy/sD2kbQ;Validator: The function with the name operation appears with two different arities, 1 and 2
DRESDEN/blocksworldserial/GkRZ3w;Validator: ( game1overlock ) is written as a zero-arity function, it should be written as a constant instead. (Try dropping the parentheses.)
DRESDEN/tictactoeserial/xxjGZQ;Validator: ( game1overlock ) is written as a zero-arity function, it should be written as a constant instead. (Try dropping the parentheses.)
DRESDEN/tritactoe/C9k7-w;Validator: Unsafe rule ( <= ( distinctCell ?x ?y ?m ?n ) ( distinct ?x ?m ) ): Variable ?x is not defined in a positive relation in the rule's body
DRESDEN/ad_game_2x2/VCN6Ww;Validator: ( <= ( bestscoreaccumulator 0 0 0 ) ) is written as a zero-arity rule, if it's always supposed to be true, it should be written as a relation instead. Otherwise, check your parentheses.
DRESDEN/clobber/wpU3Iw;Validator: ( movePossible ) is written as a zero-arity relation, it should be written as a proposition instead. (Try dropping the parentheses.)
DRESDEN/beatmania/OKagtA;Validator: ( <= ( legal player ( play 1 ) ) ) is written as a zero-arity rule, if it's always supposed to be true, it should be written as a relation instead. Otherwise, check your parentheses.
DRESDEN/3conn3/JV3xlg;Validator: ( not-filled ) is written as a zero-arity relation, it should be written as a proposition instead. (Try dropping the parentheses.)
DRESDEN/dobutsushogi/jIjkWA;Validator: The negation ( not ( distinct ?col_from ?col_to ) ) contains a literal ( distinct ?col_from ?col_to ) that is not a sentence. Only a single sentence is allowed inside a negation.
DRESDEN/duplicatestatelarge/rbPS8w;Validator: The negation ( not ( distinct ?dir c3 ) ) contains a literal ( distinct ?dir c3 ) that is not a sentence. Only a single sentence is allowed inside a negation.
DRESDEN/duplicatestatesmall/ZRoHDw;Validator: The negation ( not ( distinct ?dir c3 ) ) contains a literal ( distinct ?dir c3 ) that is not a sentence. Only a single sentence is allowed inside a negation.
DRESDEN/firesheep/aLi38A;Validator: ( sheep_exist ) is written as a zero-arity relation, it should be written as a proposition instead. (Try dropping the parentheses.)
DRESDEN/numbertictactoe/1Y90gQ;Validator: ( diagonal ) is written as a zero-arity relation, it should be written as a proposition instead. (Try dropping the parentheses.)
DRESDEN/coopconn4/RFhMFQ;Validator: ( not-filled ) is written as a zero-arity relation, it should be written as a proposition instead. (Try dropping the parentheses.)
DRESDEN/incredible/4_vJDQ;Validator: ( <= ( legal robot move ) ) is written as a zero-arity rule, if it's always supposed to be true, it should be written as a relation instead. Otherwise, check your parentheses.
DRESDEN/gt_attrition/FwMgKQ;Validator: ( gameOver ) is written as a zero-arity function, it should be written as a constant instead. (Try dropping the parentheses.)
DRESDEN/othello-comp2007/FbS6qw;Validator: The negation ( not ( distinct ?black ?red ) ) contains a literal ( distinct ?black ?red ) that is not a sentence. Only a single sentence is allowed inside a negation.
DRESDEN/ruledepthexponential/o_Pr5Q;Validator: ( <= ( legal robot giveup ) ) is written as a zero-arity rule, if it's always supposed to be true, it should be written as a relation instead. Otherwise, check your parentheses.
DRESDEN/duplicatestatemedium/RWuLFw;Validator: The negation ( not ( distinct ?dir c3 ) ) contains a literal ( distinct ?dir c3 ) that is not a sentence. Only a single sentence is allowed inside a negation.
DRESDEN/Projet_Tutore1/F6XFMQ;Validator: The keyword does is being used as a function. It should only be used as the name of a sentence.
DRESDEN/gt_centipede/FRYpsA;Validator: ( gameOver ) is written as a zero-arity function, it should be written as a constant instead. (Try dropping the parentheses.)
DRESDEN/asteroidsparallel/Hx771g;Validator: ( <= ( legal ship ( do thrustthrust ) ) ) is written as a zero-arity rule, if it's always supposed to be true, it should be written as a relation instead. Otherwise, check your parentheses.
DRESDEN/PEG_3v1_turn/JZ5tDw;Validator: ( captured ) is written as a zero-arity relation, it should be written as a proposition instead. (Try dropping the parentheses.)
DRESDEN/conn4/9zJwuw;Validator: ( not-filled ) is written as a zero-arity relation, it should be written as a proposition instead. (Try dropping the parentheses.)
DRESDEN/farmingquandries/gJ3-cg;Validator: ( year_transition ) is written as a zero-arity relation, it should be written as a proposition instead. (Try dropping the parentheses.)
DRESDEN/mastermind/-3QVjw;Validator: The function with the name set appears with two different arities, 2 and 4
DRESDEN/montyhall/9w_iYw;Validator: The keyword does is being used as a function. It should only be used as the name of a sentence.
DRESDEN/asteroidsserial/7WGpbg;Validator: ( game1overlock ) is written as a zero-arity function, it should be written as a constant instead. (Try dropping the parentheses.)
DRESDEN/Pilgrimage/Qe4sNg;Validator: ( move_conflict ) is written as a zero-arity relation, it should be written as a proposition instead. (Try dropping the parentheses.)
DRESDEN/mastermind448/miAYiA;Validator: The keyword does is being used as a function. It should only be used as the name of a sentence.
DRESDEN/Qyshinsu/ZhUdgQ;Validator: The sentence with the name base appears with two different arities, 2 and 1.
DRESDEN/dualconnect4/9ogDSA;Validator: ( some_win ) is written as a zero-arity relation, it should be written as a proposition instead. (Try dropping the parentheses.)
DRESDEN/maze/8BYEIg;Validator: ( <= ( legal robot move ) ) is written as a zero-arity rule, if it's always supposed to be true, it should be written as a relation instead. Otherwise, check your parentheses.
DRESDEN/pointgrab_state/sLvCJQ;Validator: ( <= ( legal ?r grab1 ) ) is written as a zero-arity rule, if it's always supposed to be true, it should be written as a relation instead. Otherwise, check your parentheses.
DRESDEN/platformjumpers/kqOdCQ;Validator: ( some_pos_achieved ) is written as a zero-arity relation, it should be written as a proposition instead. (Try dropping the parentheses.)
DRESDEN/vis_pacman3p/ySOUkg;Validator: The next relation should never be in the body of a rule.
DRESDEN/wargame02/z16XSQ;Validator: ( <= ( legal soldier noop ) ) is written as a zero-arity rule, if it's always supposed to be true, it should be written as a relation instead. Otherwise, check your parentheses.
DRESDEN/ruledepthlinear/PcIWPw;Validator: ( <= ( legal robot giveup ) ) is written as a zero-arity rule, if it's always supposed to be true, it should be written as a relation instead. Otherwise, check your parentheses.
DRESDEN/wargame01/PrPpkw;Validator: ( <= ( legal soldier noop ) ) is written as a zero-arity rule, if it's always supposed to be true, it should be written as a relation instead. Otherwise, check your parentheses.
DRESDEN/RobinsonRoulette_no_white_peg/TDUnzQ;Validator: Unsafe rule ( <= ( goal player 100 ) ( not ( true ( outer ?x empty ) ) ) ): Variable ?x is not defined in a positive relation in the rule's body
DRESDEN/blockerserial/f085xw;Validator: ( game1overlock ) is written as a zero-arity function, it should be written as a constant instead. (Try dropping the parentheses.)
DRESDEN/wallmaze/38dZtA;Validator: ( collision ) is written as a zero-arity relation, it should be written as a proposition instead. (Try dropping the parentheses.)
DRESDEN/rendezvous_asteroids/6t3CsA;Validator: ( <= ( legal ship1 thrust ) ) is written as a zero-arity rule, if it's always supposed to be true, it should be written as a relation instead. Otherwise, check your parentheses.
