DRESDEN/coins;TUPLE_PROVER;1;true;;30000;1054192;421536
DRESDEN/vacuumcleaner_obstacles_6;TUPLE_PROVER;1;true;;30000;375470;62369
DRESDEN/battlesnakes2011;TUPLE_PROVER;1;true;;30000;1478746;44842
STANFORD/hunter;TUPLE_PROVER;1;true;;30000;4837934;345566
BASE/blocks;TUPLE_PROVER;1;true;;30000;11034368;3678122
BASE/smallest_4player;TUPLE_PROVER;1;true;;30000;3548460;150434
BASE/chineseCheckers2;TUPLE_PROVER;1;true;;30000;2948945;78045
BASE/merrills;TUPLE_PROVER;1;true;;30000;435175;7260
DRESDEN/checkers-mustjump;TUPLE_PROVER;1;true;;30000;309038;6002
DRESDEN/peg;TUPLE_PROVER;1;true;;30000;543047;22289
DRESDEN/3qbf-5cnf-20var-40cl.1.qdimacs.viz.SAT;TUPLE_PROVER;1;true;;30000;661352;11357
STANFORD/knightstourmedium;TUPLE_PROVER;1;true;;30000;12163252;3041130
DRESDEN/tictactoelargesuicide;TUPLE_PROVER;1;true;;30000;2959166;124786
BASE/ttcc4_2player;TUPLE_PROVER;1;true;;30000;911870;22965
BASE/catcha_mouse;TUPLE_PROVER;1;true;;30000;1256337;94301
BASE/pancakes88;TUPLE_PROVER;1;true;;30000;27564486;689191
DRESDEN/doubletictactoe;TUPLE_PROVER;1;true;;30000;2143102;256910
DRESDEN/tictactoe_3d_6player;TUPLE_PROVER;1;true;;30000;312793;3099
DRESDEN/grid_game2;TUPLE_PROVER;1;true;;30000;385674;7893
BASE/checkers;TUPLE_PROVER;1;true;;30000;465471;4660
DRESDEN/snake_2008;TUPLE_PROVER;1;true;;30000;2398076;149842
DRESDEN/tictactoe_3d_2player;TUPLE_PROVER;1;true;;30000;313639;8850
BASE/quarto;TUPLE_PROVER;1;true;;30000;1388494;59577
DRESDEN/vacuumcleaner_obstacles_5;TUPLE_PROVER;1;true;;30000;407977;68206
BASE/mummymaze2p;TUPLE_PROVER;1;true;;30000;1702935;34617
STANFORD/duikoshi;TUPLE_PROVER;1;true;;30000;1368625;102320
BASE/chineseCheckers1;TUPLE_PROVER;1;true;;30000;3976838;140242
STANFORD/bestbuttonsandlightsbig;TUPLE_PROVER;1;true;;30000;9042474;1507079
DRESDEN/vacuum_cleaner_1;TUPLE_PROVER;1;true;;30000;6205235;1034059
DRESDEN/peg_bugfixed;TUPLE_PROVER;1;true;;30000;610675;25091
BASE/pancakes6;TUPLE_PROVER;1;true;;30000;26184783;660029
DRESDEN/pentago_2008;TUPLE_PROVER;1;true;;30000;299252;5490
BASE/hitori;TUPLE_PROVER;1;true;;30000;220365;2279
DRESDEN/quad;TUPLE_PROVER;1;true;;35077;866;19
DRESDEN/3pttc;TUPLE_PROVER;1;true;;30000;1930336;66050
DRESDEN/Travelers-Dilemma;TUPLE_PROVER;1;true;;30000;13910355;1391035
BASE/bomberman2p;TUPLE_PROVER;1;true;;30000;2458115;315481
BASE/englishDraughts;TUPLE_PROVER;1;true;;30000;1190935;17328
DRESDEN/knightazons;TUPLE_PROVER;1;true;;30000;619908;9377
BASE/knightsTour;TUPLE_PROVER;1;true;;30000;11933936;2456358
DRESDEN/snake_2009;TUPLE_PROVER;1;true;;30000;2127215;132755
STANFORD/tictactoe7;TUPLE_PROVER;1;true;;30000;4064000;732939
DRESDEN/sat_test_20v_91c_visualisation;TUPLE_PROVER;1;true;;30000;488881;24444
DRESDEN/point_grab;TUPLE_PROVER;1;true;;30000;14850855;495028
DRESDEN/mimikry;TUPLE_PROVER;1;true;;30000;1428133;59428
DRESDEN/nim1;TUPLE_PROVER;1;true;;30000;9595790;1397497
BASE/checkersTiny;TUPLE_PROVER;1;true;;30000;968086;15743
DRESDEN/satlike_20v_91c_version2;TUPLE_PROVER;1;true;;30000;497785;24889
BASE/minichess;TUPLE_PROVER;1;true;;30000;2180927;726975
BASE/ticTacHeavenFC;TUPLE_PROVER;1;true;;30000;836324;30761
DRESDEN/quad_5x5;TUPLE_PROVER;1;true;;30002;71943;4986
BASE/ttcc4;TUPLE_PROVER;1;true;;30000;902097;31985
BASE/hodgepodge;TUPLE_PROVER;1;true;;30000;7635900;7635900
DRESDEN/tictactoelarge;TUPLE_PROVER;1;true;;30000;3147866;132731
BASE/incredible;TUPLE_PROVER;1;true;;30000;4758052;250428
DRESDEN/laikLee_hex;TUPLE_PROVER;1;false;Exception of type StackOverflowError;0;0;0
BASE/racer;TUPLE_PROVER;1;true;;30000;1576775;114399
DRESDEN/hanoi_6_disks;TUPLE_PROVER;1;true;;30000;8610868;2419655
BASE/2pffa;TUPLE_PROVER;1;true;;30000;1637598;54586
BASE/connectFour;TUPLE_PROVER;1;true;;30000;1549914;69425
BASE/mummymaze1p;TUPLE_PROVER;1;true;;30000;2389158;424196
DRESDEN/pancakes;TUPLE_PROVER;1;true;;30000;27225707;686446
DRESDEN/uf20-020.cnf.SAT;TUPLE_PROVER;1;true;;30000;460122;23006
BASE/hex;TUPLE_PROVER;1;true;;30000;590106;8295
BASE/racer4;TUPLE_PROVER;1;false;GameDescriptionException: Goal is poorly defined for red in [( true ( counter n29 ) ), ( true ( posx blue p3 ) ), ( true ( posx green p24 ) ), ( true ( posx red p24 ) ), ( true ( posx yellow p9 ) ), ( true ( posy blue p12 ) ), ( true ( posy green n1 ) ), ( true ( posy red n1 ) ), ( true ( posy yellow p17 ) ), ( true ( resigned blue ) ), ( true ( resigned yellow ) ), ( true ( velx blue p0 ) ), ( true ( velx green p0 ) ), ( true ( velx red p0 ) ), ( true ( velx yellow p0 ) ), ( true ( vely blue p0 ) ), ( true ( vely green n3 ) ), ( true ( vely red n1 ) ), ( true ( vely yellow p0 ) )];0;0;0
DRESDEN/vacuumcleaner_obstacles_3;TUPLE_PROVER;1;true;;30000;462001;76939
DRESDEN/blocker;TUPLE_PROVER;1;true;;30000;4089878;518671
BASE/tictactoe2;TUPLE_PROVER;1;true;;30000;5281077;692515
DRESDEN/3qbf-5cnf-20var-40cl.2.qdimacs.satlike;TUPLE_PROVER;1;true;;30000;649409;11101
DRESDEN/bomberman2p;TUPLE_PROVER;1;true;;30000;2184416;280125
BASE/lightsOnSimultaneous;TUPLE_PROVER;1;true;;30000;1080971;71366
BASE/colonelBlottoVariant;TUPLE_PROVER;1;true;;30000;8392887;839288
DRESDEN/lightsout;TUPLE_PROVER;1;true;;30000;2647692;132384
DRESDEN/CephalopodMicro;TUPLE_PROVER;1;true;;30000;70733;1617
BASE/factoringImpossibleTurtleBrain;TUPLE_PROVER;1;true;;30000;82847;986
BASE/knightsTourLarge;TUPLE_PROVER;1;true;;30000;10288296;1717451
BASE/dotsAndBoxesSuicide;TUPLE_PROVER;1;true;;30000;1658079;27634
BASE/beatMania;TUPLE_PROVER;1;true;;30000;9285459;154757
DRESDEN/uf20-01.cnf.SAT;TUPLE_PROVER;1;true;;30000;510789;25539
BASE/tpeg;TUPLE_PROVER;1;true;;30000;710781;58210
BASE/lightsOnSimul4;TUPLE_PROVER;1;true;;30000;958520;148845
DRESDEN/smallest_4player;TUPLE_PROVER;1;true;;30000;3496567;148236
BASE/ruleDepthLinear;TUPLE_PROVER;1;true;;30000;19352454;9676845
BASE/breakthroughSmall;TUPLE_PROVER;1;true;;30000;1941952;68916
DRESDEN/SC_TestOnly_enabled;TUPLE_PROVER;1;false;RuntimeException: CompiledProver could not be created;0;0;0
BASE/checkers-mustjump;TUPLE_PROVER;1;true;;30000;340890;6609
BASE/blocker;TUPLE_PROVER;1;true;;30000;4012539;508813
BASE/dotsAndBoxes;TUPLE_PROVER;1;true;;30000;1601369;26689
BASE/wallmaze;TUPLE_PROVER;1;true;;30000;719424;24807
DRESDEN/cube_2x2x2;TUPLE_PROVER;1;true;;30000;2503884;208839
BASE/4pttc;TUPLE_PROVER;1;true;;30000;1530691;48694
DRESDEN/mummymaze1p;TUPLE_PROVER;1;true;;30000;2672296;474183
DRESDEN/sheep_and_wolf;TUPLE_PROVER;1;true;;30000;723689;17707
DRESDEN/frogs_and_toads;TUPLE_PROVER;1;true;;30000;1453431;12529
BASE/numbertictactoe;TUPLE_PROVER;1;true;;30000;1776961;221175
BASE/ticTacToe;TUPLE_PROVER;1;true;;30000;4317828;566122
DRESDEN/latenttictactoe;TUPLE_PROVER;1;true;;30000;2170415;206228
BASE/amazons;TUPLE_PROVER;1;true;;30001;16071;228
BASE/tictactoe_3d_6player;TUPLE_PROVER;1;true;;30000;332620;3287
BASE/blocksWorldParallel;TUPLE_PROVER;1;true;;30000;1263971;421323
STANFORD/multiplesukoshi;TUPLE_PROVER;1;false;ArrayIndexOutOfBoundsException: 5;0;0;0
BASE/strangeSkirmish;TUPLE_PROVER;1;true;;30000;152126;1536
STANFORD/breakthrough;TUPLE_PROVER;1;true;;30000;1285930;20063
STANFORD/untwistycomplex;TUPLE_PROVER;1;true;;30000;25207945;2800882
DRESDEN/breakthroughsuicide_v2;TUPLE_PROVER;1;true;;30000;1383873;21539
BASE/hexPie;TUPLE_PROVER;1;true;;30000;591026;8312
DRESDEN/minichess;TUPLE_PROVER;1;true;;30000;1520161;172038
STANFORD/ttcc4;TUPLE_PROVER;1;true;;30000;963303;17507
DRESDEN/blocks2player;TUPLE_PROVER;1;true;;30000;9939641;552210
BASE/toetictac;TUPLE_PROVER;1;true;;30000;8537051;1119485
DRESDEN/blockerparallel;TUPLE_PROVER;1;true;;30000;481077;68956
BASE/hanoi_6_disks;TUPLE_PROVER;1;true;;30000;8750262;2459906
BASE/factoringEasyTurtleBrain;TUPLE_PROVER;1;true;;30000;4866796;81113
BASE/quad_5x5;TUPLE_PROVER;1;true;;30000;76574;5320
DRESDEN/ggp-course2013_nicolai;TUPLE_PROVER;1;true;;30000;128324;3992
DRESDEN/hanoi7;TUPLE_PROVER;1;true;;30000;10187578;80217
DRESDEN/bunk_t;TUPLE_PROVER;1;true;;30000;2143574;257026
DRESDEN/sum15;TUPLE_PROVER;1;true;;30000;5201800;681927
STANFORD/dualhunter;TUPLE_PROVER;1;true;;30000;1843178;131655
BASE/crisscross;TUPLE_PROVER;1;true;;30000;1319168;50952
DRESDEN/skirmish3;TUPLE_PROVER;1;true;;30000;717437;17935
BASE/asteroids;TUPLE_PROVER;1;true;;30000;19702433;424207
DRESDEN/2player_normal_form_2010;TUPLE_PROVER;1;true;;30000;6899700;6899700
DRESDEN/mummymaze2p;TUPLE_PROVER;1;true;;30000;1815917;36910
