DRESDEN/coins;TUPLE_PROVER;1;true;;30001;7347;2915
DRESDEN/vacuumcleaner_obstacles_6;TUPLE_PROVER;1;true;;30001;1213;211
DRESDEN/battlesnakes2011;TUPLE_PROVER;1;true;;30000;10227;313
STANFORD/hunter;TUPLE_PROVER;1;true;;30000;45209;3229
BASE/blocks;TUPLE_PROVER;1;true;;30000;135201;45067
BASE/smallest_4player;TUPLE_PROVER;1;true;;30000;41690;1769
BASE/chineseCheckers2;TUPLE_PROVER;1;true;;30000;34596;914
BASE/merrills;TUPLE_PROVER;1;true;;30000;610;10
DRESDEN/checkers-mustjump;TUPLE_PROVER;1;true;;30002;2336;46
DRESDEN/peg;TUPLE_PROVER;1;true;;30002;8107;333
DRESDEN/3qbf-5cnf-20var-40cl.1.qdimacs.viz.SAT;TUPLE_PROVER;1;true;;30000;15156;259
STANFORD/knightstourmedium;TUPLE_PROVER;1;true;;30000;181715;45629
DRESDEN/tictactoelargesuicide;TUPLE_PROVER;1;true;;30000;21955;922
BASE/ttcc4_2player;TUPLE_PROVER;1;true;;30001;8863;204
BASE/catcha_mouse;TUPLE_PROVER;1;true;;30000;13426;1005
BASE/pancakes88;TUPLE_PROVER;1;true;;30000;183952;4599
DRESDEN/doubletictactoe;TUPLE_PROVER;1;true;;30001;23606;2835
DRESDEN/tictactoe_3d_6player;TUPLE_PROVER;1;true;;30002;2253;20
DRESDEN/grid_game2;TUPLE_PROVER;1;true;;30002;3812;77
BASE/checkers;TUPLE_PROVER;1;true;;30000;4335;43
DRESDEN/snake_2008;TUPLE_PROVER;1;true;;30001;10062;633
DRESDEN/tictactoe_3d_2player;TUPLE_PROVER;1;true;;30011;2299;64
BASE/quarto;TUPLE_PROVER;1;true;;30000;18029;769
DRESDEN/vacuumcleaner_obstacles_5;TUPLE_PROVER;1;true;;30001;1309;216
BASE/mummymaze2p;TUPLE_PROVER;1;true;;30001;13361;272
STANFORD/duikoshi;TUPLE_PROVER;1;true;;30000;10204;763
BASE/chineseCheckers1;TUPLE_PROVER;1;true;;30000;47602;1668
STANFORD/bestbuttonsandlightsbig;TUPLE_PROVER;1;true;;30000;105659;17609
DRESDEN/vacuum_cleaner_1;TUPLE_PROVER;1;true;;30000;71716;11934
DRESDEN/peg_bugfixed;TUPLE_PROVER;1;true;;30001;8006;331
BASE/pancakes6;TUPLE_PROVER;1;true;;30000;236317;5959
DRESDEN/pentago_2008;TUPLE_PROVER;1;true;;30000;5120;95
BASE/hitori;TUPLE_PROVER;1;true;;30211;872;10
DRESDEN/quad;TUPLE_PROVER;1;true;;30714;45;0
DRESDEN/3pttc;TUPLE_PROVER;1;true;;30000;17478;592
DRESDEN/Travelers-Dilemma;TUPLE_PROVER;1;true;;30000;168690;16869
BASE/bomberman2p;TUPLE_PROVER;1;true;;30000;18722;2421
BASE/englishDraughts;TUPLE_PROVER;1;true;;30000;8778;127
DRESDEN/knightazons;TUPLE_PROVER;1;true;;30009;3178;48
BASE/knightsTour;TUPLE_PROVER;1;true;;30000;171173;35133
DRESDEN/snake_2009;TUPLE_PROVER;1;true;;30001;9371;582
STANFORD/tictactoe7;TUPLE_PROVER;1;true;;30000;46983;8494
DRESDEN/sat_test_20v_91c_visualisation;TUPLE_PROVER;1;true;;30001;12763;638
DRESDEN/point_grab;TUPLE_PROVER;1;true;;30000;192251;6408
DRESDEN/mimikry;TUPLE_PROVER;1;true;;30000;7522;316
DRESDEN/nim1;TUPLE_PROVER;1;true;;30000;122798;17870
BASE/checkersTiny;TUPLE_PROVER;1;true;;30001;7755;130
DRESDEN/satlike_20v_91c_version2;TUPLE_PROVER;1;true;;38433;20;1
BASE/minichess;TUPLE_PROVER;1;true;;30001;18045;6015
BASE/ticTacHeavenFC;TUPLE_PROVER;1;true;;30001;5115;188
DRESDEN/quad_5x5;TUPLE_PROVER;1;true;;30009;843;58
BASE/ttcc4;TUPLE_PROVER;1;true;;30003;8295;294
BASE/hodgepodge;TUPLE_PROVER;1;true;;30000;74039;74039
DRESDEN/tictactoelarge;TUPLE_PROVER;1;true;;30001;21458;903
BASE/incredible;TUPLE_PROVER;1;true;;30000;46098;2426
DRESDEN/laikLee_hex;TUPLE_PROVER;1;true;;33494;479;22
BASE/racer;TUPLE_PROVER;1;true;;30000;28445;2078
DRESDEN/hanoi_6_disks;TUPLE_PROVER;1;true;;30000;76285;21217
BASE/2pffa;TUPLE_PROVER;1;true;;30000;18981;632
BASE/connectFour;TUPLE_PROVER;1;true;;30003;13060;579
BASE/mummymaze1p;TUPLE_PROVER;1;true;;30000;13630;2336
DRESDEN/pancakes;TUPLE_PROVER;1;true;;30000;228683;5768
DRESDEN/uf20-020.cnf.SAT;TUPLE_PROVER;1;true;;30000;13446;672
BASE/hex;TUPLE_PROVER;1;true;;30013;3576;48
BASE/racer4;TUPLE_PROVER;1;true;;30001;12342;563
DRESDEN/vacuumcleaner_obstacles_3;TUPLE_PROVER;1;true;;30006;1075;174
DRESDEN/blocker;TUPLE_PROVER;1;true;;30000;44951;5685
BASE/tictactoe2;TUPLE_PROVER;1;true;;30000;51503;6764
DRESDEN/3qbf-5cnf-20var-40cl.2.qdimacs.satlike;TUPLE_PROVER;1;true;;30000;13557;232
DRESDEN/bomberman2p;TUPLE_PROVER;1;true;;30001;19610;2507
BASE/lightsOnSimultaneous;TUPLE_PROVER;1;true;;30002;9038;607
BASE/colonelBlottoVariant;TUPLE_PROVER;1;true;;30000;97695;9769
DRESDEN/lightsout;TUPLE_PROVER;1;true;;30000;18514;925
DRESDEN/CephalopodMicro;TUPLE_PROVER;1;true;;30045;362;7
BASE/factoringImpossibleTurtleBrain;TUPLE_PROVER;1;true;;30832;6;0
BASE/knightsTourLarge;TUPLE_PROVER;1;true;;30000;167632;27846
BASE/dotsAndBoxesSuicide;TUPLE_PROVER;1;true;;30001;11259;187
BASE/beatMania;TUPLE_PROVER;1;true;;30000;88397;1473
DRESDEN/uf20-01.cnf.SAT;TUPLE_PROVER;1;true;;30000;14050;702
BASE/tpeg;TUPLE_PROVER;1;true;;30004;8970;731
BASE/lightsOnSimul4;TUPLE_PROVER;1;true;;30001;7163;1119
DRESDEN/smallest_4player;TUPLE_PROVER;1;true;;30000;42141;1784
BASE/ruleDepthLinear;TUPLE_PROVER;1;true;;30000;334840;167036
BASE/breakthroughSmall;TUPLE_PROVER;1;true;;30000;11288;394
DRESDEN/SC_TestOnly_enabled;TUPLE_PROVER;1;true;;30000;46244;5138
BASE/checkers-mustjump;TUPLE_PROVER;1;true;;30009;2363;48
BASE/blocker;TUPLE_PROVER;1;true;;30000;45231;5739
BASE/dotsAndBoxes;TUPLE_PROVER;1;true;;30000;11082;184
BASE/wallmaze;TUPLE_PROVER;1;true;;30002;6980;240
DRESDEN/cube_2x2x2;TUPLE_PROVER;1;true;;30000;25554;2132
BASE/4pttc;TUPLE_PROVER;1;true;;30000;13110;417
DRESDEN/mummymaze1p;TUPLE_PROVER;1;true;;30000;13847;2457
DRESDEN/sheep_and_wolf;TUPLE_PROVER;1;true;;30000;10883;272
DRESDEN/frogs_and_toads;TUPLE_PROVER;1;true;;30000;9803;84
BASE/numbertictactoe;TUPLE_PROVER;1;true;;30000;27189;3370
BASE/ticTacToe;TUPLE_PROVER;1;true;;30000;51769;6792
DRESDEN/latenttictactoe;TUPLE_PROVER;1;true;;30000;29693;2829
BASE/amazons;TUPLE_PROVER;1;true;;30621;13;0
BASE/tictactoe_3d_6player;TUPLE_PROVER;1;true;;30001;2375;22
BASE/blocksWorldParallel;TUPLE_PROVER;1;true;;30001;8659;2886
STANFORD/multiplesukoshi;TUPLE_PROVER;1;true;;30009;1022;23
BASE/strangeSkirmish;TUPLE_PROVER;1;true;;30034;521;5
STANFORD/breakthrough;TUPLE_PROVER;1;true;;30001;9984;161
STANFORD/untwistycomplex;TUPLE_PROVER;1;true;;30000;110254;12250
DRESDEN/breakthroughsuicide_v2;TUPLE_PROVER;1;true;;30001;7738;115
BASE/hexPie;TUPLE_PROVER;1;true;;30000;3513;48
DRESDEN/minichess;TUPLE_PROVER;1;true;;30000;17145;1939
STANFORD/ttcc4;TUPLE_PROVER;1;true;;30002;9686;170
DRESDEN/blocks2player;TUPLE_PROVER;1;true;;30000;105962;5887
BASE/toetictac;TUPLE_PROVER;1;true;;30000;76600;10050
DRESDEN/blockerparallel;TUPLE_PROVER;1;true;;30000;5739;821
BASE/hanoi_6_disks;TUPLE_PROVER;1;true;;30000;67135;18791
