STANFORD/freeforall;PALAMEDES_JOCULAR;0.6.1;true;;30000;21980;732
BASE/duplicateStateLarge;PALAMEDES_JOCULAR;0.6.1;true;;30000;150841;10774
BASE/checkersTorus;PALAMEDES_JOCULAR;0.6.1;true;;30004;10827;190
DRESDEN/racer4;PALAMEDES_JOCULAR;0.6.1;true;;30106;193;6
DRESDEN/amazons;PALAMEDES_JOCULAR;0.6.1;false;Exception of type NullPointerException;0;0;0
DRESDEN/uf20-020.cnf.SAT.satlike;PALAMEDES_JOCULAR;0.6.1;true;;33454;340;17
BASE/gt_centipede;PALAMEDES_JOCULAR;0.6.1;true;;30000;146474241;73245580
DRESDEN/skirmish2;PALAMEDES_JOCULAR;0.6.1;true;;30002;4372;109
BASE/point_grab;PALAMEDES_JOCULAR;0.6.1;true;;30024;346403;11546
STANFORD/multiplesukoshi;PALAMEDES_JOCULAR;0.6.1;true;;30000;13060;282
BASE/wallmaze;PALAMEDES_JOCULAR;0.6.1;true;;30000;42488;1465
BASE/firefighter;PALAMEDES_JOCULAR;0.6.1;true;;30015;267083;6047
BASE/knightsTour;PALAMEDES_JOCULAR;0.6.1;true;;30000;1466012;301400
DRESDEN/Runners;PALAMEDES_JOCULAR;0.6.1;true;;30000;322358;6579
BASE/bomberman2p;PALAMEDES_JOCULAR;0.6.1;true;;30000;108262;13884
STANFORD/tictactoe3;PALAMEDES_JOCULAR;0.6.1;true;;30000;152110359;57041435
DRESDEN/towerworld;PALAMEDES_JOCULAR;0.6.1;true;;30000;1054;2
STANFORD/ttcc4;PALAMEDES_JOCULAR;0.6.1;false;Exception of type NullPointerException;0;0;0
DRESDEN/toetictac;PALAMEDES_JOCULAR;0.6.1;true;;30000;526282;68987
BASE/checkersTiny;PALAMEDES_JOCULAR;0.6.1;true;;30003;4942;75
STANFORD/untwistycomplex;PALAMEDES_JOCULAR;0.6.1;false;Exception of type NullPointerException;0;0;0
BASE/hitori;PALAMEDES_JOCULAR;0.6.1;true;;30012;1434;15
BASE/blocksWorldParallel;PALAMEDES_JOCULAR;0.6.1;true;;30000;98227895;32742631
BASE/blocker;PALAMEDES_JOCULAR;0.6.1;true;;30000;237278;30104
BASE/chineseCheckers4;PALAMEDES_JOCULAR;0.6.1;true;;30000;41162;713
DRESDEN/skirmish3;PALAMEDES_JOCULAR;0.6.1;true;;30002;5365;134
DRESDEN/uf20-010.cnf.SAT.satlike;PALAMEDES_JOCULAR;0.6.1;true;;33067;280;14
BASE/ttcc4;PALAMEDES_JOCULAR;0.6.1;false;Exception of type NullPointerException;0;0;0
BASE/breakthroughSmall;PALAMEDES_JOCULAR;0.6.1;false;Exception of type NullPointerException;0;0;0
BASE/tpeg;PALAMEDES_JOCULAR;0.6.1;true;;30002;12394;1021
BASE/numbertictactoe;PALAMEDES_JOCULAR;0.6.1;true;;30000;122337;15196
DRESDEN/pancakes6;PALAMEDES_JOCULAR;0.6.1;true;;30033;487545;12294
DRESDEN/racer;PALAMEDES_JOCULAR;0.6.1;true;;30265;41;3
BASE/doubletictactoe;PALAMEDES_JOCULAR;0.6.1;true;;30000;76461;9158
BASE/gt_coordination;PALAMEDES_JOCULAR;0.6.1;true;;30000;465333;0
DRESDEN/oisters_farm;PALAMEDES_JOCULAR;0.6.1;true;;30008;402238;8210
BASE/ruleDepthLinear;PALAMEDES_JOCULAR;0.6.1;false;Exception of type NullPointerException;0;0;0
BASE/colonelBlottoVariant;PALAMEDES_JOCULAR;0.6.1;false;IllegalArgumentException: bound must be positive;0;0;0
DRESDEN/mummymaze2p;PALAMEDES_JOCULAR;0.6.1;true;;30000;60212;1225
BASE/mummymaze1p;PALAMEDES_JOCULAR;0.6.1;true;;30001;30267;5349
BASE/quarto;PALAMEDES_JOCULAR;0.6.1;true;;30000;58520;2525
DRESDEN/crisscross;PALAMEDES_JOCULAR;0.6.1;true;;30000;41778;1613
DRESDEN/cube_2x2x2;PALAMEDES_JOCULAR;0.6.1;true;;30000;113096;9428
DRESDEN/vacuumcleaner_obstacles_1;PALAMEDES_JOCULAR;0.6.1;true;;30000;270353;45095
BASE/snake_2008;PALAMEDES_JOCULAR;0.6.1;true;;30000;150201;9450
DRESDEN/sat_test_20v_91c;PALAMEDES_JOCULAR;0.6.1;true;;30000;84640;4232
BASE/hexPie;PALAMEDES_JOCULAR;0.6.1;true;;30003;15145;214
BASE/tictactoe2;PALAMEDES_JOCULAR;0.6.1;true;;30000;354690;46539
BASE/beatMania;PALAMEDES_JOCULAR;0.6.1;true;;30000;286824;4780
